'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1049';'CRS3035RES200mN2053400E4259000';'LAEA200M_N10267E21295';'9.25945';'41.5797';'9.26184';'41.5797';'9.26182';'41.5816';'9.25943';'41.5815';'445750';'1014.94';'445750'
'1050';'CRS3035RES200mN2053400E4259200';'LAEA200M_N10267E21296';'9.26184';'41.5797';'9.26423';'41.5798';'9.26421';'41.5816';'9.26182';'41.5816';'445750';'934.52';'445750'
'1054';'CRS3035RES200mN2053400E4260200';'LAEA200M_N10267E21301';'9.27378';'41.5798';'9.27617';'41.5799';'9.27615';'41.5817';'9.27376';'41.5816';'774683';'442.36';'774683-536956'
'1057';'CRS3035RES200mN2053400E4265600';'LAEA200M_N10267E21328';'9.33828';'41.5803';'9.34067';'41.5803';'9.34065';'41.5821';'9.33826';'41.5821';'461776';'2607.62';'461776-674287'
'1061';'CRS3035RES200mN2053600E4256600';'LAEA200M_N10268E21283';'9.23076';'41.5813';'9.23315';'41.5813';'9.23313';'41.5831';'9.23074';'41.5831';'445750';'2952.76';'445750'
'1063';'CRS3035RES200mN2053600E4259200';'LAEA200M_N10268E21296';'9.26182';'41.5816';'9.26421';'41.5816';'9.26419';'41.5834';'9.26180';'41.5834';'445750';'745.41';'445750'
'1065';'CRS3035RES200mN2053600E4259800';'LAEA200M_N10268E21299';'9.26899';'41.5816';'9.27137';'41.5816';'9.27135';'41.5834';'9.26896';'41.5834';'536956';'651.29';'774674-774683-536956-445750'
'1066';'CRS3035RES200mN2053600E4260000';'LAEA200M_N10268E21300';'9.27137';'41.5816';'9.27376';'41.5816';'9.27374';'41.5835';'9.27135';'41.5834';'536956';'529.85';'774674-774683-536956-445750'
'1069';'CRS3035RES200mN2053600E4260600';'LAEA200M_N10268E21303';'9.27854';'41.5817';'9.28093';'41.5817';'9.28091';'41.5835';'9.27852';'41.5835';'774683';'3.36';'774683'
'1070';'CRS3035RES200mN2053600E4260800';'LAEA200M_N10268E21304';'9.28093';'41.5817';'9.28332';'41.5817';'9.28330';'41.5835';'9.28091';'41.5835';'774683';'102.73';'774683'
'1078';'CRS3035RES200mN2053800E4259400';'LAEA200M_N10269E21297';'9.26419';'41.5834';'9.26658';'41.5834';'9.26655';'41.5852';'9.26416';'41.5852';'445750';'498.03';'445750'
